1.00 356.37  11.35
2.00 366.54  11.35
3.00 376.71  11.35
4.00 386.88  11.35
5.00 397.05  11.35
6.00 407.21  11.35
7.00 417.38  11.35
8.00 427.55  11.35
9.00 437.72  11.35
10.00 447.89  11.35
11.00 458.06  11.35
12.00 468.23  11.35
13.00 478.40  11.35
14.00 488.57  11.34
15.00 498.74  11.32
16.00 508.91  11.28
17.00 519.08  11.22
18.00 529.25  11.16
19.00 539.42  11.08
20.00 549.59  10.99
21.00 559.75  10.90
22.00 569.92  10.81
23.00 580.09  10.71
24.00 590.26  10.62
25.00 600.43  10.53
26.00 610.60  10.46
27.00 620.77  10.39
28.00 630.94  10.33
29.00 641.11  10.29
30.00 651.28  10.27
31.00 661.45  10.26
32.00 671.62  10.27
33.00 681.79  10.31
34.00 691.96  10.37
35.00 702.12  10.44
36.00 712.29  10.51
37.00 722.46  10.58
38.00 732.63  10.64
39.00 742.80  10.67
40.00 752.97  10.69
41.00 763.14  10.71
42.00 773.31  10.77
43.00 783.48  10.86
44.00 793.65  10.97
45.00 803.82  11.08
46.00 813.99  11.18
47.00 824.16  11.24
48.00 834.33  11.26
49.00 844.50  11.26
50.00 854.66  11.27
51.00 864.83  11.27
52.00 875.00  11.28
53.00 885.17  11.29
54.00 895.34  11.30
55.00 905.51  11.31
56.00 915.68  11.31
57.00 925.85  11.31
58.00 936.02  11.31
59.00 946.19  11.31
60.00 956.36  11.31
61.00 966.53  11.31
62.00 976.70  11.31
63.00 986.87  11.31
64.00 997.04  11.31
65.00 1007.20  11.31
66.00 1017.37  11.31
67.00 1027.54  11.31
68.00 1037.71  11.31
69.00 1047.88  11.31
70.00 1058.05  11.31
71.00 852.00  11.17
72.00 862.09  11.17
73.00 872.18  11.17
74.00 882.27  11.17
75.00 892.35  11.17
76.00 902.44  11.17
77.00 912.53  11.17
78.00 922.62  11.17
79.00 932.72  11.17
80.00 942.81  11.17
81.00 952.89  11.17
82.00 962.98  11.17
83.00 973.07  11.17
84.00 983.16  11.17
85.00 993.25  11.17
86.00 1003.37  11.17
87.00 1013.37  11.17
88.00 1023.47  11.17
89.00 1033.57  11.17
90.00 1043.67  11.17
91.00 1053.77  11.16
92.00 1063.86  11.15
93.00 1073.96  11.14
94.00 1084.06  11.13
95.00 1094.16  11.12
96.00 1104.26  11.10
97.00 1114.26  11.09
98.00 1124.35  11.07
99.00 1134.45  11.05
100.00 1144.55  11.03
101.00 1154.65  11.02
102.00 1164.75  11.00
103.00 1174.84  10.98
104.00 1184.94  10.96
105.00 1195.04  10.94
106.00 1205.14  10.93
107.00 1215.24  10.91
108.00 1225.24  10.89
109.00 1235.33  10.88
110.00 1245.43  10.87
111.00 1255.53  10.86
112.00 1265.63  10.85
113.00 1275.73  10.84
114.00 1285.83  10.83
115.00 1295.92  10.83
116.00 1306.02  10.82
117.00 1316.12  10.82
118.00 1326.12  10.82
119.00 1336.22  10.83
120.00 1346.32  10.84
121.00 1356.41  10.85
122.00 1366.51  10.86
123.00 1376.61  10.88
124.00 1386.71  10.90
125.00 1396.81  10.92
126.00 1406.90  10.95
127.00 1417.00  10.98
128.00 1427.00  11.01
129.00 1437.10  11.04
130.00 1447.20  11.07
