# Period 1 : January to May 2018
# Period 2 : July 2018 to December 2020
# CAL : calibration coefficient to apply to Top of Atmosphere reflectance
# SD : standard deviation 
band,CAL_Period_1,SD_Period_1,CAL_Period_2,SD_Period_2
band_1,1.0003043030673,0.002349624127746,1.00063638709741,0.001124875525473
band_2,0.986208957051057,0.003262359741806,0.985796568608208,0.005620094379418
band_3,1.02025827527553,0.00327217686447,1.02572218333912,0.006752839226283
band_4,1.01038210577703,0.00534852610729,0.992981056255133,0.005291286384496
band_5,1.00213898979406,0.005317901435343,0.999031583397588,0.020219060892631
band_6,0.965443827270681,0.005178014682004,1.0061075491863,0.013041212796993
band_7,0.976960856634786,0.00301869240605,0.98458299011309,0.01119889521738
band_8,1.02224041209591,0.00314255102905,1.0250076869532,0.007617672229697
band_9,1.04389967262589,0.004632424147389,0.995887251306766,0.010083887533579
band_10,0.969167009914921,0.00563914136342,0.961425958045238,0.004931542911764
band_11,1.01027984126309,0.00705451740565,1.02471530048193,0.008267210114171
band_12,0.998554291716825,0.00794382895441,0.996029131943632,0.010495849549233
band_13,1.00572731536947,0.005252151790093,1.01441368053767,0.010195113534273
band_14,0.993345313177701,0.007410890439716,1.00669688509531,0.01100196123144
band_15,1.00374730468726,0.013137516821142,1.02524262595696,0.014936498483319
band_16,0.968742494069849,0.009242034821117,0.991144203748246,0.013555928879747
band_17,0.980353375373441,0.014934545612886,0.955162962514451,0.021353341821747
band_18,1.03264327164414,0.023669189746387,0.9970746202026,0.024489559937187
band_19,1.03854004701075,0.009571670515246,1.01309394055373,0.017000395270061
band_20,0.98821088409767,0.007391198508562,0.992207149785179,0.013908218724554
band_21,1.04780470511888,0.014615841430507,1.03656488598488,0.015918354123739
band_22,0.97572187376893,0.015913723687375,1.00972353473772,0.019413477889288
band_23,0.955839845729496,0.01025783422444,0.993363572229059,0.01707276492806
band_24,1.00617029062401,0.003453159439936,0.996752147931987,0.015663426521442
band_25,0.991931680265343,0.010326909692776,1.00345023370375,0.035673926758294
band_26,1.00250667534799,0.016861457507401,1.02386055337129,0.027747503159541
band_27,0.960589451584652,0.022692945717371,0.910203972080055,0.037055285122092
band_28,0.999516946828019,0.01127869500385,0.99174894619242,0.028128845954627
band_29,1.05335849581263,0.012870207027219,1.03157967762372,0.025854306601427
band_30,1.04029320867315,0.026275150910907,1.04212556754213,0.039126344932267
band_31,1.04263408674724,0.028353526579358,1.04313597389656,0.02912084926497
band_32,0.947616642832326,0.03604875034368,0.96054475816534,0.036266536632319
band_33,0.95887358251766,0.013464301445761,1.03470675896309,0.029944634423725
band_34,1.00473285372369,0.020222232609355,0.931795244827417,0.026236795902549
