# Nechad 2010 SPM Algorithm - original Calibration
#
# wavelength (nm), A_S, B_S, Rsq, C_S
# created from tables in Nechad et al., 2010
# QV 2018-03-21
#
520.0,167.69,2.83,53.8,0.1449
522.5,161.48,2.87,53.8,0.1449
525.0,162.17,2.72,53.8,0.1449
527.5,155.27,2.89,53.7,0.1449
530.0,148.37,2.97,53.7,0.1449
532.5,147.68,2.87,53.7,0.1449
535.0,140.09,3.07,53.7,0.1449
537.5,138.71,2.99,53.7,0.1449
540.0,130.43,3.21,53.7,0.1449
542.5,129.74,3.11,53.7,0.1449
545.0,122.15,3.32,53.7,0.1449
547.5,121.46,3.23,53.9,0.1449
550.0,120.77,3.14,53.9,0.1449
552.5,113.17,3.44,54.0,0.1449
555.0,111.79,3.35,53.9,0.1449
557.5,104.89,3.6,53.8,0.1449
560.0,104.2,3.47,53.7,0.1449
562.5,97.3,3.74,53.5,0.1449
565.0,97.99,3.62,53.4,0.1449
567.5,91.78,3.92,53.3,0.1449
570.0,93.16,3.74,53.3,0.1449
572.5,89.02,3.97,53.5,0.1449
575.0,93.16,3.72,54.1,0.1449
577.5,93.16,3.78,55.2,0.1449
580.0,95.92,3.74,56.7,0.1449
582.5,98.68,3.73,57.8,0.1449
585.0,80.74,4.34,54.3,0.1449
587.5,84.19,4.37,56.6,0.1449
590.0,93.85,4.08,59.1,0.1449
592.5,109.72,3.58,61.9,0.1449
595.0,124.91,3.26,64.5,0.1449
597.5,138.02,3.14,66.8,0.1449
600.0,155.61,2.87,68.6,0.1449
602.5,162.61,2.9,70.0,0.1461
605.0,174.82,2.83,71.1,0.1472
607.5,184.42,2.69,71.9,0.1483
610.0,191.73,2.66,72.4,0.1494
612.5,198.36,2.54,72.9,0.15039999999999998
615.0,203.69,2.53,73.2,0.1514
617.5,208.81,2.52,73.6,0.1524
620.0,213.55,2.42,73.9,0.1533
622.5,217.73,2.42,74.2,0.1542
625.0,221.78,2.42,74.4,0.1551
627.5,225.15,2.42,74.7,0.156
630.0,229.45,2.32,74.9,0.1568
632.5,234.85,2.3,75.3,0.15810000000000002
635.0,239.94,2.29,75.6,0.1594
637.5,245.08,2.28,75.9,0.1607
640.0,249.96,2.26,76.2,0.16190000000000002
642.5,254.6,2.24,76.5,0.163
645.0,253.51,2.32,76.7,0.1641
647.5,260.09,2.2,77.0,0.16510000000000002
650.0,268.95,2.17,77.2,0.1661
652.5,280.36,2.14,77.6,0.1674
655.0,289.29,2.1,77.9,0.1686
657.5,307.78,1.96,78.2,0.1697
660.0,327.84,1.91,78.5,0.17079999999999998
662.5,342.56,1.84,78.7,0.17190000000000003
